56,64.697,-4048.10,-6.8066,1.0371E-05,2,175.43,8.71E+02,416.25,6.69E+06,56
57,79.24,-5718.80,-8.789,8.4486E-06,2,150.35,6.96E-02,503.15,4.58E+06,57
58,46.854,-4445.50,-3.6533,1.3260E-17,6,155.97,9.08E-01,489,4.51E+06,58
59,95.403,-10581.00,-10.004,4.3032E-18,6,285.39,5.86E+00,705.85,4.52E+06,59
60,210.88,-13928.00,-29.483,2.5182E-02,1,304.19,6.53E+01,697.55,5.06E+06,60
61,118.53,-8036.70,-13.293,8.6988E-18,6,307.93,3.45E+01,704.65,5.15E+06,61
62,102.81,-12376.00,-11.922,7.0048E-06,2,177.14,4.71E-04,631,3.23E+06,62
63,81.565,-4808.90,-9.3748,1.3901E-05,2,245.25,7.39E+04,400.15,5.96E+06,63
64,85.899,-4884.40,-10.883,1.4934E-02,1,182.48,1.80E+02,459.93,4.99E+06,64
65,51.087,-5226.40,-4.2278,9.7554E-18,6,279.69,5.36E+03,553.8,4.09E+06,65
66,189.19,-14337.00,-24.148,1.0740E-05,2,296.6,7.65E+01,650.1,4.27E+06,66
67,85.424,-7944.40,-9.2862,4.9957E-06,2,242,6.80E+00,653,3.99E+06,67
68,88.184,-6624.90,-10.059,8.2566E-06,2,169.67,1.04E-01,560.4,4.39E+06,68
69,66.341,-5198.50,-6.8103,6.1930E-06,2,179.28,9.07E+00,511.7,4.51E+06,69
70,67.952,-5187.50,-7.0785,6.8165E-06,2,138.13,1.28E-02,507,4.80E+06,70
71,40.608,-3179.60,-2.8937,5.6131E-17,6,145.59,7.80E+01,398,5.49E+06,71
72,85.146,-7843.70,-9.2982,5.1788E-06,2,189.64,8.24E-03,664,3.97E+06,72
73,201.64,-15133.00,-26.264,1.4625E-05,2,267.15,4.86E-01,674.2,2.60E+06,73
74,112.73,-9749.60,-13.245,7.1266E-06,2,243.51,1.39E+00,617.7,2.09E+06,74
75,123.36,-14680.00,-13.474,1.9491E-18,6,304.55,1.50E-01,722.1,2.23E+06,75
76,156.239,-15212.00,-18.424,8.5006E-18,6,280.05,1.51E-01,688,2.31E+06,76
77,68.401,-7776.90,-6.4637,6.3750E-18,6,206.89,2.59E-02,616.6,2.22E+06,77
78,91.91,-10565.00,-9.5957,5.7028E-18,6,247.56,2.59E-02,696,2.13E+06,78
